CVEGEO,ndvi_2026,ndvi_2020,ndbi_2026,delta_ndvi
0901000010915,0.21240788364492652,0.21288386266252046,0.007945480880528447,-0.00047597901759394157
0901200010233,0.21644855581808606,0.2080020087977774,-0.006385300488886518,0.00844654702030867
0901400010717,0.22933713233971614,0.21676297974699807,-0.042120260511650576,0.012574152592718074
0901400010204,0.18469885706447395,0.18240806237354115,-0.0003253536927504184,0.002290794690932796
090160001068A,0.1966613622748312,0.1908656544250845,-0.028474402736697723,0.005795707849746701
0901600010711,0.21841291288897116,0.21038889571609326,-0.009196383676235998,0.0080240171728779
0901600010641,0.25209812043256274,0.24536363091946498,-0.03444460866027226,0.006734489513097769
090160001075A,0.31645979263350127,0.29877193816414777,-0.06700377429313138,0.017687854469353503
0901600010571,0.22956729476933252,0.21111979424975208,-0.028548034061644335,0.01844750051958044
0901600010730,0.20254420010563823,0.19782669285848462,0.008209085524889513,0.004717507247153613
0901300011347,0.27986605315177676,0.2775365494456595,-0.01084582666615727,0.0023295037061172863
0900800010086,0.2850381890393299,0.28868998346930175,-0.02484225571344747,-0.003651794429971822
0900800010118,0.33777825949348583,0.33472601434440113,-0.03485516451408609,0.003052245149084698
0900800010122,0.2706895236286425,0.27075451109915105,-0.00921259565806424,-6.498747050853737e-05
0901500010926,0.2268913869957216,0.21341574079673464,-0.019974617003042455,0.013475646198986946
0901500011430,0.19438072852035032,0.1734507737827804,-0.0206507729741821,0.020929954737569922
0901500010945,0.2522642009773782,0.24673050964852541,-0.03383653629670879,0.005533691328852758
0901500010998,0.20037942434561595,0.18048368134740084,-0.02504369723811094,0.019895742998215116
0901500010790,0.22410556182695715,0.22233007761297133,-0.02124667088652512,0.001775484213985823
0901500010733,0.2594478536055267,0.25803747216380407,-0.018565744020584776,0.001410381441722619
0901500011356,0.199650899015458,0.17874677933236427,-0.01241615198400536,0.02090411968309372
0901500011093,0.2242784971699836,0.21569563695747368,-0.03249341006321939,0.008582860212509924
0900300011092,0.22835060231306836,0.24783708221170506,0.0006972568481725664,-0.019486479898636694
0900300011444,0.2696402711626087,0.2767183407846075,-0.03979656887198522,-0.007078069621998806
0900300011105,0.27788310501867786,0.28675663371110616,-0.019842725010012482,-0.0088735286924283
0900300010376,0.28689110778018,0.2758147599479882,-0.04900731571700885,0.011076347832191802
0901100011431,0.3173322736200251,0.32264699909208966,0.014688948155228799,-0.005314725472064574
0901300010527,0.2974533460810048,0.29057293790029753,-0.030376200462018863,0.006880408180707287
0901000012292,0.28816763856145516,0.2646242676458182,-0.021880218717257396,0.023543370915636963
0901200010981,0.2479464919790389,0.2181535186076936,-0.026457636670584577,0.029792973371345288
0900400010195,0.30603181354617554,0.3028953070068244,-0.03876544013224685,0.003136506539351158
0900800010315,0.22795116318949502,0.2385583983422536,0.005921780927275233,-0.010607235152758576
0900300011779,0.22307327672371935,0.2359065400114577,-0.00838872394375187,-0.012833263287738345
0900300010304,0.20518203202400118,0.1955335507101124,-0.005680901520401684,0.009648481313888763
0900700010229,0.21285182410313702,0.23355855503923856,0.01685600199914108,-0.020706730936101536
0901400010825,0.09853362127240954,0.0847057658816364,0.025571429423896504,0.013827855390773136
0900200010472,0.12149432631480332,0.11459116631845065,0.05433561417506254,0.006903159996352673
0901600010092,0.0823462976207996,0.07858883832245613,0.07601927135373335,0.0037574592983434796
0901500010697,0.1369289073916768,0.12957935614817176,0.044824849842195646,0.007349551243505031
0901100010452,0.12973921083050458,0.1412002060396827,0.059187683713777826,-0.011460995209178121
0901500010771,0.0677605024275191,0.06311483512909978,0.08401734270614487,0.004645667298419323
0900700010619,0.11622043089097155,0.10890420648839187,0.05116006636737811,0.007316224402579674
0900700011693,0.1397908553016457,0.1225681991456062,0.03433894243185435,0.017222656156039504
0901000010578,0.13633356115713904,0.1292848526599508,0.041366118580721915,0.00704870849718825
0901000010084,0.13589984088817225,0.12013472720458811,0.036440839518789285,0.015765113683584145
0901200010996,0.14879139112933304,0.14300083918261822,0.005411377351339628,0.0057905519467148225
0900600010471,0.09035872680248697,0.09110228509847808,0.06727824694677154,-0.0007435582959911119
0900200010928,0.13075146503952276,0.11941134908235661,0.011083600309082273,0.01134011595716615
0901700011308,0.11212791695802883,0.11226392497466466,0.040892633442964024,-0.00013600801663582462
0901700010831,0.07765491960121043,0.07429006164092537,0.06353651667846143,0.0033648579602850587
0901700011030,0.08283484919538339,0.07651990843787906,0.050719946589339385,0.006314940757504328
090170001009A,0.12866074179756382,0.116758862996021,0.029837699257708333,0.011901878801542809
0901700010920,0.13258409445557387,0.1317585014216346,0.026259002966985454,0.0008255930339392814
0900500011468,0.13499056913110438,0.12530805444823678,0.01890983135722465,0.009682514682867599
0900500011631,0.10926845004453004,0.09892728144420405,0.051045474322681694,0.010341168600325981
0900500011839,0.11815847697230915,0.10737761328420899,0.048125167051480795,0.010780863688100162
0900500010370,0.0900445259220115,0.09054608912175434,0.04318160853322214,-0.0005015631997428438
0901500010818,0.04434322898668754,0.039745235247702675,0.0824572071159261,0.004597993738984868
090150001049A,0.12656129949437664,0.12026027183781343,0.03914651715857336,0.006301027656563207
0900700011180,0.0964400773419205,0.07900677947803213,0.04907232922395544,0.017433297863888378
0900700010021,0.08167893761535279,0.0839240597223219,0.06798431600662284,-0.0022451221069691163
090070001006A,0.10030749874519042,0.09641004812456676,0.059113549482626954,0.0038974506206236603
0900700011246,0.10729754261884762,0.10088617133279132,0.044886622301049464,0.006411371286056303
0900700011424,0.10697820266355285,0.09698134438193279,0.06905613464781188,0.009996858281620058
0900700015446,0.1036761862656943,0.09011222619818704,0.052480805555598885,0.013563960067507264
